Date	DoW M=1	Local Time	Country	State	City	Zip Code	Method of Payment	Vendor	Purchaser	Good or Service	Note/Comments	Exp'd?	Reimb?	Recur?	Traveling?	In Pers?	Debit	Credit
43047	3	0.833333333			Ein Gedi		Barclay MasterCard	Kibbutz Ein Gedi	Joint	Meal Out	Dinner in Ein Gedi	No	No	No		Yes	-53.32	
43047	3	0.416666667			Jerusalem		Barclay MasterCard	21st Floor Hotel	Joint	Hotel	Stay in Jerusalem	No	No	No		Yes	-426.54	
43046	2	0.291666667			Online		Barclay MasterCard	iTunes	Joint	Fee	HBO Now subscription	No	No	No		No	-16.02	
43046	2	0.291666667			Online		Stanford	Bank of America Checking	NPH	Salary	Salary 10.16 - 10.31	No	No	Yes		No	0	2036.19
43045	1	0.822916667			Jerusalem		Barclay MasterCard	Gavriel	Joint	Meal Out	Dinner Date	No	No	No		Yes	-19.39	
43045	1	0.822916667			Jerusalem		Barclay MasterCard	Gavriel	Joint	Meal Out	Dinner Date	No	No	No		Yes	-123.19	
43045	1	0.458333333			Tel Aviv		Bank of America Checking	Bank of America	Joint	Fee	International ATM Fee	No	No	No		Yes	-12.86	
43045	1	0.458333333			Tel Aviv		Bank of America Checking	Bank of America	Joint	Fee	International ATM Fee	No	No	No		Yes	-5	
43045	1	0.458333333			Tel Aviv		Bank of America Checking	Israeli Shekels	Joint	ForEx	ISL	No	No	No		Yes	-428.69	400
43045	1	0.291666667			Online		Bank of America Checking	PSE&G	Joint	Utilities	Monthly Utility Payment	No	No	Yes		No	-17.15	
43044	7	0.916666667			Online		Barclay MasterCard	Kotel Tunnel Tour	Joint	Ticket(s)	Kotel Tunnel Tour	No	No	No		No	-19.96	
43044	7	0.864583333			Tel Aviv		Barclay MasterCard	The White Pergola	Joint	Meal Out	Dinner w/ Tak & Perach	No	No	No		Yes	-71.83	
43044	7	0.583333333			Tel Aviv		Barclay MasterCard	Suzana	Joint	Meal Out	Lunch w/ Tak & Perach	No	No	No		Yes	-70.12	
43044	7	0.5			Tel Aviv		Barclay MasterCard	Anikama	Joint	Gift	Magnet for Amandine	No	No	No		Yes	-4.28	
43044	7	0.458333333			Tel Aviv		Barclay MasterCard	Sabon	Joint	Gift	Soaps for People	No	No	No		Yes	-29.07	
43044	7	0.375			Tel Aviv		Barclay MasterCard	Arcaffe	Joint	Meal Out	Breakfast w/ Tak & Perach	No	No	No		Yes	-35.91	
43044	7	0.333333333			Online		Bank of America MasterCard	Privacy Assist	NPH	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43044	7	0.333333333			Online		Barclay MasterCard	New Brunswick Parking Authority	Joint	Rent	Monthly Parking	No	No	Yes		No	-165	
43043	6	0.291666667			Online		Road Runner Sports	Barclay MasterCard	CGPR	Fee	Membership Fee	No	No	No		No	0	33.74
43042	5	0.90625			JFK		Barclay MasterCard	Hudson News	Joint	Snack	Bottle of Water	No	No	No		Yes	-5.48	
43042	5	0.885416667			New York		I-Pass Account	Port Authority of NY & NJ	Joint	Toll	Goethals Bridge Toll	No	No	No		Yes	-10.5	
43042	5	0.875			Elizabeth		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-2.9	
43042	5	0.833333333			Online		Barclay MasterCard	Amazon	Joint	Household Goods	Moving Materials	No	No	No		Yes	-92.28	
43042	5	0.833333333			Online		Barclay MasterCard	Amazon	Joint	Household Goods	Moving Materials	No	No	No		Yes	-14.95	
43042	5	0.833333333			Online		Barclay MasterCard	Amazon	Joint	Household Goods	Moving Materials	No	No	No		Yes	-29.99	
43042	5	0.802083333			New Brunswick		Barclay MasterCard	Honey Grow	Joint	Meal Out	Dinner Date	No	No	No		Yes	-19.1	
43042	5	0.625			Online		Barclay MasterCard	United Airlines	NPH	Airfare	EWR --> SFO --> EWR w/ Points	No	No	No		No	-11.2	
43041	4	0.833333333			New Brunswick		Barclay MasterCard	Honey Grow	Joint	Meal Out	Dinner Date	No	No	No		Yes	-22.73	
43041	4	0.5625			Online		Barclay MasterCard	Amazon	Joint	Household Goods	Replacement CamelBak Bladder	No	No	No		No	-21.86	
43041	4	0.614583333			New Brunswick		Barclay MasterCard	USPS	NPH	Postage	Ship chocolates to Team	No	No	No		Yes	-12.75	
43041	4	0.46875			New Brunswick		Barclay MasterCard	Rutgers Bookstore	Joint	Gift	Birthday card for Julie	No	No	No		Yes	-7.43	
43041	4	0.458333333			New Brunswick		Cash	Julie Kruse	Joint	Gift	Cash for Julie's B-day	No	No	No		Yes	-40	
43041	4	0.458333333			New Brunswick		Bank of America Checking	Cash	Joint	Cash Withdrawl	Cash for Julie's B-day	No	No	No		Yes	-40	40
43041	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Reimbursement	Travel Expenses	No	Yes	No		No	0	249
43041	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 10.23 - 11.05	No	No	Yes		No	0	1802.72
43040	3	0.375			New Brunswick		Bank of America Checking	The Vue	Joint	Rent	Monthly Rent	No	No	Yes		Yes	-1950	
43040	3	0.354166667			Online		Bank of America Checking	Navient	CGPR	Student Loan Payment	Student Loan Payment	No	No	No		No	-1114	
43040	3	0.291666667			Online		Barclay MasterCard	Patreon	CGPR	Donation	News Service Fee	No	No	Yes		No	-2.99	
43039	2	0.989583333			Nowhere		Cash	Unknown	CGPR	Unknown	Unknown Cash Purchase	No	No	No		Yes	-9	
43039	2	0.833333333			New Brunswick		Barclay MasterCard	Roosterspin	Joint	Meal Out	Dinner Date	No	No	No		Yes	-83	
43039	2	0.666666667			New Brunswick		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-2.9	
43039	2	0.625			Elizabeth		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-2.9	
43039	2	0.447916667			New Brunswick		Barclay MasterCard	Super Fresh	Joint	Groceries	Groceries	No	No	No		Yes	-21.59	
43039	2	0.4375			New Brunswick		Barclay MasterCard	Choice Cleaners	Joint	Drycleaning	Drycleaning	No	No	No		Yes	-25.8	
43039	2	0.395833333			Online		Bank of America Checking	Chase Visa	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-41.54	41.54
43039	2	0.395833333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-230.21	230.21
43039	2	0.291666667			Online		Bank of America Checking	Skype	CGPR	Phone	Monthly Skype Charge	No	No	Yes		No	-5.49	
43038	1	0.8125			New Brunswick		Barclay MasterCard	Trader Joe's	Joint	Groceries	Groceries	No	No	No		Yes	-19.99	
43038	1	0.416666667			Online		Barclay MasterCard	Think Geek	CGPR	Friend Receivable	Dress for Colleague	No	No	No		No	-55.94	
43038	1	0.385416667			Online		Bank of America Checking	Chase Visa	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-12.99	12.99
43038	1	0.333333333			Online		Chase Visa	Privacy Assist	CGPR	Credit Monitoring	Monthly Credit Monitoring	No	No	Yes		No	-12.99	
43037	7	0.625			Zürich		Barclay MasterCard	Lager Superguud	CGPR	Snack	Snack	Yes	No	No		Yes	-9.3	
43037	7	0.604166667			Zürich		Barclay MasterCard	Läckerli Huus	Joint	Gift	Chocolates	No	No	No		Yes	-25.73	
43037	7	0.583333333			Zürich		Barclay MasterCard	Läderach Chocolat	Joint	Gift	Chocolates	No	No	No		Yes	-70.76	
43037	7	0.375			Basel		Chase Visa	Basel SBB	CGPR	Trainfare	Train to Zürich	No	No	No		Yes	-41.54	
43037	7	0.104166667			Online		Barclay MasterCard	I-Pass Account	Joint	Prepay	Refill I-Pass Account	No	No	No		No	-20	20
43036	6	0.75			Basel		Barclay MasterCard	Restaurant Arlequin	CGPR	Meal Out	Dinner out w/ Erika	Yes	No	No		Yes	-68.38	
43036	6	0.458333333			New Brunswick		Barclay MasterCard	Super Fresh	NPH	Groceries	Groceries	No	No	No		Yes	-12.64	
43036	6	0.416666667			Basel		Barclay MasterCard	My Muesli	CGPR	Meal Out	Breakfast Out	Yes	No	No		Yes	-15.94	
43036	6	0.447916667			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-801.75	801.75
43035	5	0.833333333			Online		Barclay MasterCard	Steam	NPH	Game(s)	XCOM: Enemy Unknown	No	No	No		No	-9.99	
43034	4	0.833333333			New Brunswick		Barclay MasterCard	Harvest Moon Brewery Company	NPH	Meal Out	Dinner & Beers w/ Ronan	No	No	No		Yes	-60	
43034	4	0.65625			Online		Barclay MasterCard	Amazon	Joint	Gift	Book for Naomi	No	No	No		No	-22.98	
43034	4	0.614583333			New Brunswick		Barclay MasterCard	Hidden Grounds	NPH	Coffee Out	Afternoon Coffee Out	No	No	No		Yes	-5.35	
43034	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Reimbursement	Travel Expenses	No	Yes	No		No	0	196
43033	3	0.833333333			Online		Barclay MasterCard	Amazon	NPH	Movie	War for the Planet of the Apes	No	No	No		No	-5.33	
43033	3	0.802083333			New Brunswick		Barclay MasterCard	Tiger Mart	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-22.38	
43033	3	0.4375			New Brunswick		Barclay MasterCard	USPS	Joint	Postage	Ship Llama to CamCam	No	No	No		Yes	-7.1	
43033	3	0.416666667			Zürich		Bank of America Checking	Bank of America	CGPR	Fee	International ATM Fee	No	No	No		Yes	-6.1	
43033	3	0.416666667			Zürich		Bank of America Checking	Bank of America	CGPR	Fee	International ATM Fee	No	No	No		Yes	-5	
43033	3	0.416666667			Zürich		Bank of America Checking	Swiss Francs	CGPR	ForEx	CHF	No	No	No		Yes	-203.31	200
43032	2	0.833333333			New Brunswick		Barclay MasterCard	Super Fresh	Joint	Groceries	Groceries	No	No	No		Yes	-25.15	
43032	2	0.822916667			New Brunswick		Barclay MasterCard	Trader Joe's	Joint	Groceries	Groceries	No	No	No		Yes	-89.74	
43032	2	0.354166667			New Brunswick		Barclay MasterCard	Starbucks	CGPR	Coffee Out	Morning Coffee Out	No	No	No		Yes	-1.76	
43032	2	0.104166667			Online		Barclay MasterCard	I-Pass Account	Joint	Prepay	Refill I-Pass Account	No	No	No		No	-20	20
43031	1	0.489583333			New Brunswick		Barclay MasterCard	Honey Grow	Joint	Lunch	Lunch Date	No	No	No		Yes	-22.73	
43031	1	0.395833333			New Brunswick		Barclay MasterCard	Walgreens	Joint	OTC Meds	D/N Quil	No	No	No		Yes	-20.98	
43030	7	0.822916667			New Brunswick		Barclay MasterCard	Super Fresh	Joint	Groceries	Groceries	No	No	No		Yes	-28.38	
43030	7	0.770833333			New Brunswick		Barclay MasterCard	Ramen Nagomi	Joint	Meal Out	Dinner Date	No	No	No		Yes	-45	
43030	7	0.739583333			New Brunswick		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-6.5	
43030	7	0.65625			Newark		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-4	
43030	7	0.645833333			Collins Park		I-Pass Account	Maryland Turnpike	Joint	Toll	I-95 Toll	No	No	No		Yes	-8	
43030	7	0.625			Baltimore		I-Pass Account	Maryland Turnpike	Joint	Toll	Maryland Turnpike Toll	No	No	No		Yes	-1.54	
43030	7	0.614583333			Baltimore		I-Pass Account	Maryland Turnpike	Joint	Toll	Baltimore Harbor Tunnel Toll	No	No	No		Yes	-4	
43030	7	0.5625			Richmond		I-Pass Account	Virginia Turnpike	Joint	Toll	Virginia Turnpike Toll	No	No	No		Yes	-1.9	
43030	7	0.5			Charlottesville		Barclay MasterCard	BP	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-9.78	
43030	7	0.104166667			Online		Barclay MasterCard	I-Pass Account	Joint	Prepay	Refill I-Pass Account	No	No	No		No	-20	20
43029	6	0.385416667			Charlottesville		Barclay MasterCard	CVS	Joint	OTC Meds	Bugspray for the Wedding	No	No	No		Yes	-19.99	
43028	5	0.760416667			Charlottesville		Barclay MasterCard	Jos A. Bank	NPH	Clothing	Dress Shirts	No	No	No		Yes	-93.72	
43028	5	0.604166667			Charlottesville		Barclay MasterCard	BP	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-20.67	
43028	5	0.604166667			Charlottesville		Barclay MasterCard	Virginia Shop	Joint	Gift	Packaging for Wedding Gift	No	No	No		Yes	-26.01	
43028	5	0.583333333			Charlottesville		Barclay MasterCard	Chop't	Joint	Meal Out	Lunch Date	No	No	No		Yes	-24.24	
43028	5	0.4375			Richmond		I-Pass Account	Virginia Turnpike	Joint	Toll	Virginia Turnpike Toll	No	No	No		Yes	-1.7	
43028	5	0.40625			Baltimore		I-Pass Account	Maryland Turnpike	Joint	Toll	Baltimore Harbor Tunnel Toll	No	No	No		Yes	-4	
43028	5	0.395833333			Collins Park		I-Pass Account	Maryland Turnpike	Joint	Toll	I-95 Toll	No	No	No		Yes	-1.19	
43028	5	0.375			Collins Park		I-Pass Account	Delaware Turnpike	Joint	Toll	Delaware Turnpike Toll	No	No	No		Yes	-4	
43028	5	0.364583333			Collins Park		I-Pass Account	New Jersey Turnpike	Joint	Toll	New Jersey Turnpike Toll	No	No	No		Yes	-4	
43028	5	0.354166667			Collins Park		I-Pass Account	Delaware Memorial Bridge	Joint	Toll	Delaware Memorial Bridge Toll	No	No	No		Yes	-6.5	
43028	5	0.333333333			Online		Ally Bank	Ally Bank Savings Account	Joint	Interest	Monthly Interest Deposit	No	No	No		No	0	5.26
43028	5	0.291666667			New Brunswick		Barclay MasterCard	Hidden Grounds	Joint	Coffee Out	Morning Coffee Out	No	No	No		Yes	-22.71	
43028	5	0.291666667			Online		Stanford	Bank of America Checking	NPH	Salary	Salary 10.01 - 10.15	No	No	Yes		No	0	2036.17
43027	4	0.854166667			New Brunswick		Barclay MasterCard	Honey Grow	NPH	Meal Out	Solo Dinner Out	No	No	No		Yes	-9.93	
43027	4	0.802083333			New Brunswick		Barclay MasterCard	Exxon New Brunswick	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-17.37	
43027	4	0.78125			New Brunswick		Barclay MasterCard	Banana Republic	CGPR	Clothing	Tank for Wedding, Sweater	No	No	No		Yes	-59.49	
43027	4	0.78125			New Brunswick		Cash	Prestige Nails	CGPR	Hygiene	Mani/Pedi	No	No	No		Yes	-10	
43027	4	0.78125			New Brunswick		Barclay MasterCard	Prestige Nails	CGPR	Hygiene	Mani/Pedi	No	No	No		Yes	-35	
43027	4	0.739583333			New Brunswick		Bank of America Checking	Cash	CGPR	Cash Withdrawl	Cash for Manicure	No	No	No		Yes	-20	20
43027	4	0.510416667			New Brunswick		Barclay MasterCard	Honey Grow	Joint	Lunch	Lunch Date	No	No	No		Yes	-22.73	
43027	4	0.427083333			Online		Barclay MasterCard	Barclay MasterCard	Joint	Point Redemption	Points Redeemed for Travel	No	No	No		No	0	200
43027	4	0.427083333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-3324.15	3324.15
43027	4	0.395833333			New Brunswick		Barclay MasterCard	Choice Cleaners	Joint	Drycleaning	Drycleaning	No	No	No		Yes	-40.15	
43027	4	0.354166667			New Brunswick		Barclay MasterCard	Starbucks	CGPR	Coffee Out	Morning Coffee Out	No	No	No		Yes	-1.39	
43027	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Salary	Salary 10.09 - 10.22	No	No	Yes		No	0	1802.72
43026	3	0.708333333			Ithaca		Barclay MasterCard	Pokeland	Joint	Meal Out	Dinner w/ Colleagues	Yes	No	No		Yes	-11.34	
43026	3	0.697916667			Ithaca		Barclay MasterCard	Sunoco	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-15.76	
43026	3	0.6875			Ithaca		Barclay MasterCard	City of Ithaca Parking Authority	NPH	Parking	Parking Fee	Yes	No	No		Yes	-6	
43026	3	0.583333333			Ithaca		Barclay MasterCard	Press Bay café	NPH	Coffee Out	Afternoon Coffee Out	No	No	No		Yes	-4.5	
43026	3	0.5			Ithaca		Barclay MasterCard	Carriage House	NPH	Lunch	Solo Lunch Out	No	No	No		Yes	-17	
43026	3	0.375			Ithaca		Cash	City of Ithaca Parking Authority	NPH	Parking	Parking Fee	No	No	No		Yes	-3	
43026	3	0.375			Ithaca		Barclay MasterCard	Gimme! Coffee	NPH	Coffee Out	Morning Coffee Out	No	No	No		Yes	-7	
43026	3	0.291666667			Online		Barclay MasterCard	Spotify	Joint	Music Streaming	Monthly Music Streaming	No	No	Yes		No	-16.02	
43025	2	0.78125			Easton		I-Pass Account	DRJTBC	Joint	Toll	Delaware River Joint Toll Bridge Toll	No	No	No		Yes	-1	
43025	2	0.510416667			New Brunswick		Barclay MasterCard	Honey Grow	Joint	Lunch	Lunch Date	No	No	No		Yes	-22.73	
43025	2	0.416666667			New Brunswick		Barclay MasterCard	Shell Station - New Brunswick	Joint	Gasoline	Fill tank on Ziggie	No	No	No		Yes	-9.58	
43025	2	0.40625			New Brunswick		Barclay MasterCard	Super Fresh	Joint	Groceries	Groceries	No	No	No		Yes	-14.08	
43025	2	0.395833333			New Brunswick		Barclay MasterCard	Choice Cleaners	CGPR	Drycleaning	Drycleaning	No	No	No		Yes	-64	
43025	2	0.375			New Brunswick		Barclay MasterCard	Starbucks	CGPR	Coffee Out	Morning Coffee Out	No	No	No		Yes	-3.74	
43025	2	0.354166667			New Brunswick		Barclay MasterCard	Starbucks	CGPR	Coffee Out	Morning Coffee Out	No	No	No		Yes	-1.39	
43024	1	0.864583333			SFO		Barclay MasterCard	Boudin	CGPR	Gift	Sourdough for Kim	No	No	No		Yes	-3.14	
43024	1	0.84375			SFO		Barclay MasterCard	Hertz	Joint	Car Rental	Bay Area Car Rental	No	No	No		Yes	-534.36	
43024	1	0.833333333			Palo Alto		Barclay MasterCard	Cream	Joint	Snack	Ice Cream Date	No	No	No		Yes	-9.4	
43024	1	0.822916667			Palo Alto		Barclay MasterCard	Umami Burger	Joint	Meal Out	Dinner out w/ Phil & Lydia	No	No	No		Yes	-64	
43024	1	0.760416667			Palo Alto		Barclay MasterCard	Valero	Joint	Gasoline	Gas for Rental Car	No	No	No		Yes	-3.35	
43024	1	0.729166667			Palo Alto		Barclay MasterCard	Coupa Café	CGPR	Coffee Out	Coffee out w/ Heidi	No	No	No		Yes	-4.82	
43024	1	0.666666667			Palo Alto		Barclay MasterCard	Chevron	Joint	Gasoline	Gas for Rental Car	No	No	No		Yes	-30.83	
43024	1	0.604166667			Palo Alto		Barclay MasterCard	Fillmore & 5th Consignment	CGPR	Clothing	Clothes	No	No	No		Yes	-26.68	
43024	1	0.541666667			Palo Alto		Barclay MasterCard	Tender Greens	CGPR	Lunch	Solo Lunch Out	No	No	No		Yes	-20	
43024	1	0.489583333			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Lunch	Solo Lunch @ 3160	No	No	No		Yes	-10.62	
43024	1	0.302083333			Palo Alto		Barclay MasterCard	Mayfield Bakery	Joint	Coffee Out	Morning Coffee Date	No	No	No		Yes	-6	
43023	7	0.9375			Palo Alto		Barclay MasterCard	Uber	Joint	Taxi	Ride to Phil's	No	No	No		Yes	-17.96	
43023	7	0.739583333			Palo Alto		Barclay MasterCard	Uber	Joint	Taxi	Ride to Yifan & Jeff's	No	No	No		Yes	-3	
43023	7	0.739583333			Palo Alto		Barclay MasterCard	Uber	Joint	Taxi	Ride to Yifan & Jeff's	No	No	No		Yes	-14.32	
43023	7	0.635416667			Palo Alto		Barclay MasterCard	Whole Foods	Joint	Groceries	Groceries	No	No	No		Yes	-7.19	
43023	7	0.625			Palo Alto		Barclay MasterCard	Sushirrito	Joint	Meal Out	Lunch Date	No	No	No		Yes	-38.17	
43023	7	0.583333333			Woodside		Barclay MasterCard	Thomas Fogarty Winery	Joint	Date	Wine Date	No	No	No		Yes	-44	
43023	7	0.416666667			Palo Alto		Barclay MasterCard	Tuts Bakery and Café	Joint	Meal Out	Brunch Date	No	No	No		Yes	-16	
43023	7	0.416666667			Palo Alto		Barclay MasterCard	Tuts Bakery and Café	Joint	Meal Out	Brunch Date	No	No	No		Yes	-30	
43023	7	0.291666667			Online		Bank of America Checking	Progressive Auto Insurance	Joint	Renters Insurance	Monthly Renters Insurance Premium	No	No	Yes		No	-22.41	
43022	6	0.854166667			Palo Alto		Barclay MasterCard	So Gong Dong Tofu House	Joint	Meal Out	Dinner Date	No	No	No		Yes	-38	
43022	6	0.677083333			Mountain View		Barclay MasterCard	Safeway	Joint	Groceries	Groceries	No	No	No		Yes	-80.65	
43022	6	0.645833333			Palo Alto		Barclay MasterCard	Gelataio	Joint	Snack	Ice Cream Date	No	No	No		Yes	-13.91	
43022	6	0.520833333			Redwood City		Barclay MasterCard	Alana's Café	Joint	Meal Out	Lunch Date	No	No	No		Yes	-60	
43022	6	0.40625			Redwood City		Barclay MasterCard	Starbucks	Joint	Snack	Snack	No	No	No		Yes	-5.5	
43021	5	0.854166667			San Francisco		Barclay MasterCard	Heirloom Café	Joint	Meal Out	Dinner Date	Yes	No	No		Yes	-65	
43021	5	0.854166667			San Francisco		Barclay MasterCard	Heirloom Café	Joint	Meal Out	Dinner Date	No	No	No		Yes	-165	65
43021	5	0.510416667			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Lunch	Solo Lunch @ 3160	No	No	No		Yes	-11.77	
43021	5	0.34375			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Snack	Breakfast Out	No	No	No		Yes	-14.28	
43021	5	0.291666667			Online		Bank of America Checking	Progressive Auto Insurance	Joint	Auto Insurance	Monthly Auto Insurance Premium	No	No	Yes		No	-97.52	
43020	4	0.927083333			San Francisco		Barclay MasterCard	El Techo	Joint	Meal Out	Dinner w/ Colleagues	No	No	No		Yes	-90	
43020	4	0.833333333			San Francisco		Barclay MasterCard	Boulettes Larder	CGPR	Meal Out	Tapas w/ Colleagues	Yes	No	No		Yes	-68	
43020	4	0.78125			Palo Alto		Barclay MasterCard	Joya	NPH	Meal Out	Tapas w/ Phil & Lydia	No	No	No		Yes	-77	
43020	4	0.71875			Palo Alto		Barclay MasterCard	Joya	NPH	Meal Out	Beer while waiting for Phil	No	No	No		Yes	-9.9	
43020	4	0.46875			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Lunch	Solo Lunch @ 3160	No	No	No		Yes	-16.66	
43020	4	0.364583333			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-44.99	44.99
43020	4	0.291666667			Online		Johnson & Johnson	Bank of America Checking	CGPR	Reimbursement	Travel Expenses	No	Yes	No		No	0	171.72
43020	4	0.291666667			Online		Barclay MasterCard	Optimum Online	Joint	Cable	November Internet Service	No	No	Yes		No	-44.99	
43019	3	0.854166667			San Francisco		Cash	Christopher's Books	CGPR	Book(s)	Victoria: The Queen	No	No	No		Yes	-22	
43019	3	0.84375			San Francisco		Barclay MasterCard	Chez Maman	Joint	Meal Out	Cyn/J&J Portion	Yes	No	No		Yes	-63	
43019	3	0.84375			San Francisco		Barclay MasterCard	Chez Maman	Joint	Meal Out	Dinner Date	No	No	No		Yes	-126	63
43019	3	0.75			Brisbane		Barclay MasterCard	Flyer	Joint	Gasoline	Gas for Rental Car	No	No	No		Yes	-27.13	
43019	3	0.34375			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-378	378
43019	3	0.291666667			Online		Barclay MasterCard	AirB&B	Joint	Hotel	Stay for CamCam Wedding	No	No	No		No	-185	
43019	3	0.291666667			Online		Barclay MasterCard	Orange Theory Fitness	NPH	Gym	Membership Fee	No	No	No		No	-189	
43019	3	0.291666667			Online		Barclay MasterCard	Orange Theory Fitness	CGPR	Gym	Membership Fee	No	No	No		No	-189	
43018	2	0.770833333			Palo Alto		Barclay MasterCard	Rose & Crown	NPH	Meal Out	Beers w/ Phil	No	No	No		Yes	-19	
43018	2	0.447916667			Palo Alto		Cash	Pho Vi Hoa	NPH	Lunch	Lunch w/ Colleagues	No	No	No		Yes	-12	
43018	2	0.395833333			Online		Barclay MasterCard	Amazon	NPH	Gift	Move in gift for Blake	No	No	No		No	-23.79	
43018	2	0.322916667			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Snack	Breakfast Out	No	No	No		Yes	-5.5	
43017	1	0.770833333			Palo Alto		Barclay MasterCard	Carlos for Hair	NPH	Hygiene	Haircut for Nick	No	No	No		Yes	-60	
43017	1	0.708333333			Menlo Park		Barclay MasterCard	Draeger's	NPH	Groceries	Phil Groceries	No	No	No		Yes	-53.48	
43017	1	0.552083333			Palo Alto		Barclay MasterCard	Stanford RE Café	NPH	Lunch	Solo Lunch @ 3160	No	No	No		Yes	-12.97	
43017	1	0.541666667			Palo Alto		Cash	Jason Taloma	NPH	Coffee Out	Money for Starbucks	No	No	No		Yes	-5	
43017	1	0.46875			Menlo Park		Barclay MasterCard	Susiecakes	NPH	Gift	Cupcakes for Team	No	No	No		Yes	-14.3	
43017	1	0.34375			Online		Bank of America Checking	Barclay MasterCard	Joint	Credit Card Payment	Irregular CC Payment	No	No	No		No	-189.98	189.98
43017	1	0.333333333			Online		Barclay MasterCard	ATT	Joint	Phone	Monthly Phone Bill	Yes	No	Yes		No	-189.98	
43016	7	0.708333333			Brisbane		Cash	DoubleTree San Francisco Airport	Joint	Fee	Bellman Tip	No	No	No		Yes	-3	
43016	7	0.604166667			San Francisco		Barclay MasterCard	NoPa	Joint	Lunch	Lunch out w/ Nadia	No	No	No		Yes	-108	
43016	7	0.510416667			San Francisco		Barclay MasterCard	City of San Francisco Parking Authority	Joint	Parking	Parking Fee	No	No	No		Yes	-1	
43016	7	0.458333333			Millbrae		Barclay MasterCard	Valero	Joint	Gasoline	Gas for Rental Car	No	No	No		Yes	-25.27	
43016	7	0.416666667			Oakland		Cash	Bay Area FasTrack	Joint	Toll	Bay Bridge Toll	No	No	No		Yes	-5	
43015	6	0.875			Oakland		Barclay MasterCard	Boot and Shoe Service	Joint	Meal Out	Dinner & Drinks w/ Jonathan	No	No	No		Yes	-147	
43015	6	0.71875			Oakland		Barclay MasterCard	Pietisserie	Joint	Groceries	Pie for Jonathan & Amandine, Phil	No	No	No		Yes	-78	
43015	6	0.541666667			Menlo Park		Cash	Kyosho	Joint	Lunch	Lunch Date	No	No	No		Yes	-50	
43015	6	0.4375			Palo Alto		Barclay MasterCard	Paper Source	CGPR	Gift	Card for Steve Persche	No	No	No		Yes	-6.49	
43015	6	0.416666667			Palo Alto		Barclay MasterCard	Mayfield Bakery	Joint	Coffee Out	Morning Coffee Date	No	No	No		Yes	-18	
43015	6	0.395833333			Mountain View		Barclay MasterCard	Safeway	Joint	Groceries	Groceries	No	No	No		Yes	-12.35	
43014	5	0.875			Redwood City		Barclay MasterCard	Martins West	Joint	Meal Out	Dinner & Drinks w/ Tuan & Che	No	No	No		Yes	-63	
43014	5	0.635416667			Menlo Park		Barclay MasterCard	Susiecakes	CGPR	Gift	Birthday Cake for Steve Persche	No	No	No		Yes	-55.17	
43014	5	0.552083333			Palo Alto		Barclay MasterCard	Sushirrito	CGPR	Lunch	Lunch out w/ Lydia	No	No	No		Yes	-31.8	
43014	5	0.510416667			Palo Alto		Barclay MasterCard	Peet's Coffee	CGPR	Coffee Out	Coffee out w/ Lydia	No	No	No		Yes	-2.1	
43014	5	0.489583333			Palo Alto		Barclay MasterCard	Carlos for Hair	CGPR	Hygiene	Haircut for Cyn	No	No	No		Yes	-70	
